"city","datetime","pollutant","forecast_value"
"X1001A","19.2083333333333","PM2.5",22.5461250826473
"X1001A","19.25","PM2.5",20.4788182733646
"X1001A","19.2916666666667","PM2.5",19.4945523830156
"X1001A","19.3333333333333","PM2.5",19.0060541802081
"X1001A","19.375","PM2.5",18.8196305086245
"X1001A","19.4166666666667","PM2.5",18.7970422586907
"X1001A","19.4583333333333","PM2.5",18.7970422586907
"X1001A","19.5","PM2.5",18.9451230961023
"X1001A","19.5416666666667","PM2.5",18.9667254342337
"X1001A","19.5833333333333","PM2.5",18.7810954212911
"X1001A","19.625","PM2.5",18.7810954212911
"X1001A","19.6666666666667","PM2.5",18.8924207244565
"X1001A","19.7083333333333","PM2.5",18.8004405224453
"X1001A","19.75","PM2.5",18.4581510016781
"X1001A","19.7916666666667","PM2.5",18.4492389966196
"X1001A","19.8333333333333","PM2.5",18.4401497324257
"X1001A","19.875","PM2.5",18.4581510016781
"X1001A","19.9166666666667","PM2.5",18.4754888125077
"X1001A","19.9583333333333","PM2.5",18.4581510016781
"X1001A","20","PM2.5",18.4581510016781
"X1001A","20.0416666666667","PM2.5",18.4922427351126
"X1001A","20.0833333333333","PM2.5",18.4922427351126
"X1001A","20.125","PM2.5",18.5004213697845
"X1001A","20.1666666666667","PM2.5",18.4839344263925
"X1001A","20.2083333333333","PM2.5",18.4716080142479
"X1001A","20.25","PM2.5",18.4535275927084
"X1001A","20.2916666666667","PM2.5",18.4446677947023
"X1001A","20.3333333333333","PM2.5",18.4402053193793
"X1001A","20.375","PM2.5",18.4384904415832
"X1001A","20.4166666666667","PM2.5",19.0140718091945
"X1001A","20.4583333333333","PM2.5",19.0140718091945
"X1001A","20.5","PM2.5",19.3760587428352
"X1001A","20.5416666666667","PM2.5",19.539060212875
"X1001A","20.5833333333333","PM2.5",19.6915772285016
"X1001A","20.625","PM2.5",19.6915772285016
"X1001A","20.6666666666667","PM2.5",19.8398443255208
"X1001A","20.7083333333333","PM2.5",19.8389720186625
"X1001A","20.75","PM2.5",20.0455889241907
"X1001A","20.7916666666667","PM2.5",19.9768587117103
"X1001A","20.8333333333333","PM2.5",19.9068445955261
"X1001A","20.875","PM2.5",20.0455889241907
"X1001A","20.9166666666667","PM2.5",20.1795305600054
"X1001A","20.9583333333333","PM2.5",20.0455889241907
"X1001A","21","PM2.5",20.0455889241907
"X1001A","21.0416666666667","PM2.5",20.3092504681998
"X1001A","21.0833333333333","PM2.5",20.3092504681998
"X1001A","21.125","PM2.5",20.3726778159197
"X1001A","21.1666666666667","PM2.5",20.2448866050639
"X1001A","21.2083333333333","PM2.5",20.1495233595848
"X1001A","21.25","PM2.5",20.0099226961833
"X1001A","21.2916666666667","PM2.5",19.9416364865331
"X1001A","21.3333333333333","PM2.5",19.9072725234747
"X1001A","21.375","PM2.5",19.8940722381097
"X1001A","21.4166666666667","PM2.5",19.8979502505854
"X1001A","21.4583333333333","PM2.5",19.8979502505854
"X1001A","21.5","PM2.5",19.9118451140157
"X1001A","21.5416666666667","PM2.5",19.9149004506392
"X1001A","21.5833333333333","PM2.5",19.9031853504489
"X1001A","21.625","PM2.5",19.9031853504489
"X1001A","21.6666666666667","PM2.5",19.9124536331022
"X1001A","21.7083333333333","PM2.5",19.9059304861408
